days,start,end,downloads,package
29,2018-11-01,2018-11-30,7614,metafor
30,2018-12-01,2018-12-31,5773,metafor
30,2019-01-01,2019-01-31,7050,metafor
27,2019-02-01,2019-02-28,7586,metafor
30,2019-03-01,2019-03-31,8418,metafor
29,2019-04-01,2019-04-30,10187,metafor
30,2019-05-01,2019-05-31,14448,metafor
29,2019-06-01,2019-06-30,10331,metafor
30,2019-07-01,2019-07-31,11101,metafor
30,2019-08-01,2019-08-31,10221,metafor
29,2019-09-01,2019-09-30,11082,metafor
30,2019-10-01,2019-10-31,12790,metafor
29,2019-11-01,2019-11-30,12555,metafor
30,2019-12-01,2019-12-31,9744,metafor
30,2020-01-01,2020-01-31,11415,metafor
28,2020-02-01,2020-02-29,12402,metafor
30,2020-03-01,2020-03-31,15560,metafor
